기간	구분 	계	1-17시간	18-26시간	27-35시간	36-44시간	45-53시간	54시간이상	일시휴직자	주당평균취업시간
2000	구분	"4,668"	181	164	181	860	"1,174"	"2,042"	67	50.9
2001	구분	"4,736"	190	167	181	876	"1,185"	"2,068"	69	50.6
2002	구분	"4,807"	176	172	201	"1,029"	"1,196"	"1,960"	72	49.9
2003	구분	"4,811"	181	170	209	"1,069"	"1,263"	"1,842"	76	49.2
2004	구분	"4,917"	199	194	204	"1,186"	"1,259"	"1,789"	86	48.5
2005	구분	"4,959"	196	204	224	"1,260"	"1,292"	"1,693"	90	47.7
2006	구분	"5,015"	180	192	211	"1,315"	"1,362"	"1,682"	75	47.8
2007	구분	"5,084"	196	203	247	"1,429"	"1,352"	"1,585"	72	46.9
2008	구분	"5,077"	193	197	313	"1,494"	"1,357"	"1,446"	79	46
2009	구분	"4,983"	200	200	179	"1,484"	"1,382"	"1,461"	77	46.4
2010	구분	"5,059"	219	217	263	"1,544"	"1,361"	"1,375"	80	45.4
2011	구분	"5,150"	229	326	328	"1,574"	"1,348"	"1,265"	80	44.2
2012	구분	"5,145"	213	204	262	"1,760"	"1,402"	"1,221"	82	44.7
2013	구분	"5,146"	206	209	476	"1,872"	"1,264"	"1,040"	79	43.3
2014	구분	"5,209"	216	203	294	"1,897"	"1,397"	"1,127"	75	44.1
2015	구분	"5,165"	223	214	289	"1,905"	"1,403"	"1,055"	77	43.8
2016	구분	"5,146"	224	236	363	"1,874"	"1,349"	"1,014"	86	43.1
2017	구분	"5,152"	254	254	304	"1,973"	"1,350"	936	81	42.7
2018	구분	"5,080"	291	262	442	"2,056"	"1,179"	778	72	41.3
2019	구분	"5,086"	333	296	342	"2,210"	"1,170"	657	79	40.6
2020	구분	"5,051"	325	336	422	"2,299"	965	537	168	38.8
2021	구분	"5,055"	392	332	518	"2,296"	909	507	103	38.6
